match_date,competition,season,home_team,away_team,event_url,home_score,away_score,home_moneyline_decimal,away_moneyline_decimal,handicap_team,handicap_line,handicap_odds_decimal,total_line,over_odds_decimal,under_odds_decimal,source_bookmaker_home_away,source_bookmaker_total,source_bookmaker_handicap
2025-03-22,france-top-14,2024-2025,Lyon,Vannes,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/lyon-rc-vannes-Ai31fbeM/,36,21,1.08,7.0,,,,54.5,1.8333,1.8333,bet365.us,market-average,
2025-03-22,france-top-14,2024-2025,RC Toulonnais,USA Perpignan,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-toulonnais-usa-perpignan-UypYlxJq/,40,19,1.05,8.5,,,,47.5,1.8333,1.8333,bet365.us,market-average,
2025-03-22,france-top-14,2024-2025,Section Paloise,Montpellier,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/section-paloise-montpellier-herault-rc-zZntmGmd/,40,38,1.4405,2.63,,,,45.5,1.8333,1.8333,bet365.us,market-average,
2025-03-22,france-top-14,2024-2025,Stade Francais Paris,Aviron Bayonnais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-francais-paris-aviron-bayonnais-GUPSAJu3/,31,27,1.5,2.5,,,,,,,bet365.us,,
2025-03-22,france-top-14,2024-2025,Stade Rochelais,Castres Olympique,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-rochelais-castres-olympique-OfTz9cAF/,12,12,1.3597,3.0,,,,45.5,1.8333,1.8333,bet365.us,market-average,
2025-03-23,france-top-14,2024-2025,Bordeaux Begles,Stade Toulousain,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/bordeaux-begles-stade-toulousain-KMMq7yuS/,32,24,1.1401,5.0,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2025-03-29,france-top-14,2024-2025,Aviron Bayonnais,Lyon,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/aviron-bayonnais-lyon-APvi1686/,28,14,1.25,3.75,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2025-03-29,france-top-14,2024-2025,Clermont,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/clermont-stade-rochelais-GQor3Swf/,33,19,1.4405,2.63,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2025-03-29,france-top-14,2024-2025,Montpellier,Stade Francais Paris,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/montpellier-herault-rc-stade-francais-paris-Gh8F1F2k/,38,32,1.25,3.75,,,,,,,bet365.us,,
2025-03-29,france-top-14,2024-2025,Stade Toulousain,Section Paloise,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-toulousain-section-paloise-80rz5l9s/,55,10,1.01,17.0,,,,60.5,1.8333,1.8333,bet365.us,market-average,
